source_id,ra,dec,parallax,significance,period,ruwe,a_thiele_innes,b_thiele_innes,phot_g_mean_mag,bp_rp,wobble_amplitude
3125556385452213248,101.38042610685605,0.6295410295789944,4.846956879938945,12.787294,283.1458450736286,1.9340731,0.5427210883665766,0.1997367418207509,15.25952,2.171646,0.5783086942031659
2169022500974408064,315.32543423035185,50.858991920562,5.29996526967741,30.042019,90.01055047631172,3.5208893,0.2469219742641418,-0.7049901345213301,13.495326,1.4483051,0.7469816270477505
2169324282555755776,317.5767113630166,51.857881113927476,1.4440228164862858,11.211376,907.812347603089,2.846319,-0.32112928283686143,-0.6323831713196817,14.330212,2.3097477,0.7092478351490787
2169610086861720192,313.3910857838932,49.80963438439087,1.1343543702186385,20.970259,572.0844579643531,1.7543398,0.32736906200775456,0.3985302076847557,14.8583145,1.5817928,0.5157488043583732
412651013174348288,23.279441134569748,56.22181458259123,2.247000556083429,17.014408,286.89952248814257,2.1079905,0.5852476723721193,-0.39480294826649387,12.446357,0.9714174,0.7059633177275567
412813156779879040,23.691563778360685,57.21815806768331,1.4635377585309999,33.429104,533.1308996340181,2.4329743,-0.5699238286936048,-0.34723410037504926,13.768185,1.0250702,0.6673714789950551
413169948307151104,21.20661952311046,58.510345044880744,2.362692127628578,48.025585,730.4289054399297,3.0373492,0.6770453207797282,0.3080236819874095,13.391409,1.3592234,0.743820512660686
413753445384247552,17.398320980127014,58.52086912484901,1.2894887595788966,18.715706,424.36276615535877,2.0224273,0.3231459408027036,0.20936018701148462,13.050864,0.8891096,0.38503894213799755
4139677462013902080,256.53426304027454,-14.701004640281065,2.9413892215456854,27.265854,444.57283945909717,3.9498742,-0.6276948849253703,0.05980802456433291,13.268833,1.2493029,0.6305377612512686
5942244351093498368,245.84156675965377,-46.819297979797796,2.8672462808444035,30.77589,419.6785911392271,2.7345343,-0.1741048094124756,-0.5662801685199483,13.982103,1.3552866,0.592440472891189
577148088805442176,136.21150743295902,2.007693956026318,1.6763476260568386,14.568682,477.8913104543271,2.4236329,0.7430312023667643,0.039340296182554954,13.881686,0.9551306,0.7440719229982614
577970145545930496,132.4857323055491,2.5432193370454232,2.2925180075659024,39.02604,586.8802540930459,3.7852504,-0.8871147541436099,0.11915659088004042,13.842964,1.2171545,0.8950814935911873
578139710854697344,133.37606629281083,3.3284967502716363,0.7239843557177823,20.3182,880.4720781209553,1.8760645,-0.2167694083578901,0.08033118221166291,14.506654,0.89440155,0.23117542091527185
578161598007913728,135.31825833455457,2.701474517866343,4.139466445400081,85.827515,541.1492813972268,7.784754,0.9953665531487426,-2.770483536419543,14.226631,1.7303019,2.943863719790532
582668805408076928,132.37788801763986,5.116621351213922,14.865823680007221,107.53646,401.29322712398863,12.400564,-1.0091930124101274,1.0026376144937597,10.004071,1.2250586,1.422586630857736
582762916731351168,132.26737631136692,5.565068867598257,3.9309876451713945,64.15863,438.03030400162334,4.920403,0.6780058385288324,-0.7052437965971725,13.91083,1.4460173,0.9782948071608983
583576173085675136,133.8899978210143,5.923387168990301,3.2747186275137685,67.39061,442.4395834602801,5.9914465,-0.9675276601197342,0.5388932779519297,13.157794,1.2412577,1.1074817100605063
584309963951367680,136.50169398412766,7.926989352558697,0.7163179568232503,7.1392117,929.0002749785896,1.8928835,0.08874506647406016,0.40617362016422554,14.648469,0.8212509,0.4157555730724459
584585185455530624,133.83022352919298,7.319715511802682,3.187654918606983,72.939064,766.8617666046473,4.7242413,-1.635277075170228,0.3208545020266202,14.259791,1.486433,1.6664569373518314
588867302209374208,141.94708149162355,8.725034738265194,5.996949592124369,24.656273,497.5804372268815,2.215457,-0.8965877008242827,0.2512981179066782,15.068516,2.18752,0.9311392212407403
4242268738781843072,297.9798227294063,3.828481351155663,1.6415224722767683,9.960369,862.2764750238621,1.4024873,-0.2988426769062621,0.25027791016642137,15.183088,1.2500162,0.3898024856998373
1956461541536659456,332.9002116260881,40.54150779844599,0.784711304448866,19.529234,887.3202736170264,2.094838,-0.4015600389043391,-0.30902465467950035,14.129729,0.7774353,0.5067017880811541
1956521945959661568,332.384711414608,40.682440942804774,1.205726148717356,24.439629,558.3318034073485,1.7129679,0.3571838915129812,0.432371516033235,15.156517,1.2013111,0.560825695054386
1957486737349609856,336.1441431426531,41.26321795681861,5.197144686115649,32.693302,872.1991898184637,3.6716192,-0.7613291433867881,-0.07228143709244064,12.617216,1.1787434,0.7647526859829974
1957938877147875840,336.6834830904723,43.27580022664305,1.2372546489481098,11.6627655,433.5123978576545,1.6565307,0.08977762337198265,-0.23539484309165107,12.63701,1.2202864,0.25193402670632764
1958468841751594752,333.55768994430105,42.68063415322731,0.6800571786251401,14.935091,573.6207389975046,1.5453762,0.1402145492359296,-0.338777660543375,14.425317,0.8412638,0.3666475461539012
5923627042227069312,257.29024012960747,-53.92641260018299,0.8127684893495102,19.125336,697.7348306304949,1.7146437,0.12960116770757832,0.42215759625963317,13.853588,0.6897068,0.44160332737749985
5923765168393115520,255.44317023358926,-54.084761948072895,1.8046026726089208,15.880378,289.7641820706297,1.6115232,0.4136627000342323,-0.00024659845954089687,14.495488,1.1501694,0.4136627735371065
1829677925211926656,301.9048211250429,21.347575177705977,0.7661210625622557,11.205269,873.8804779099324,1.6077815,0.12569954924880647,0.48562985335606584,14.706796,1.1003532,0.5016340609966464
5241689310512219264,164.83337531443814,-62.61030352101296,2.422453415518691,44.555737,550.3706314843349,4.057086,0.32293126966312047,1.0809325759481163,12.062705,0.8838186,1.1281399907245844
2007308564156919808,340.6356093332373,57.55863935792957,3.9918578061845547,10.240619,539.8165926402905,1.4412884,-0.31868968480796495,-0.8804203911340253,16.260622,2.5614443,0.9363242922874478
557259675806990208,84.82455546257134,81.87120090513315,1.0015257239836595,12.953196,922.1171277041802,4.099494,-0.10109180216293671,-0.9845608795563163,13.932391,0.7458563,0.9897371762327903
5706795927497952896,128.65294239515524,-19.630290144882412,4.410595496450245,15.798323,494.5954583629974,1.7868677,0.30704519389852936,0.59430560547893,14.587519,1.6703234,0.6689363974249444
5942102307932659712,247.49604470778894,-46.896039627523265,1.0830019502963215,18.117184,766.2064598324637,1.8603419,0.24873475820553548,0.44325836461434714,13.338164,1.0684423,0.5082784254128359
